sector,key,list_key,row_id,name,country,register_class,list_status,capacity_value,capacity_unit,perimeter_clause,rungs_passed,scored,unread,site_result,site_searched,site_source,site_speaker,site_date,site_precision,site_note,capacity_result,capacity_searched,capacity_source,capacity_speaker,capacity_date,capacity_precision,capacity_note,fid_result,fid_searched,fid_source,fid_speaker,fid_date,fid_precision,fid_note,funding_result,funding_searched,funding_source,funding_speaker,funding_date,funding_precision,funding_note,start_result,start_searched,start_source,start_speaker,start_date,start_precision,start_note,input_result,input_searched,input_source,input_speaker,input_date,input_precision,input_note,input_provisional
hydrogen,iea:596,596,engie-hynetherlands-eemshaven,HyNetherlands 2nd phase,NL,admitted,Feasibility study,100,MW_input,,2,true,false,pass,true,https://www.hynetherlands.nl/en/project/,"HyNetherlands (ENGIE, OCI, EEW)",2026-09-10,day,"the admitting source names the site as 'Eems power plant site, Eemshaven'",pass,true,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,100 MW_input as stated,fail,true,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,no owner statement that FID has been taken,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this project,fail,true,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,no owner-stated start carrying a date precision,fail,true,sources/edges.json,eufabric dependency sweep,2026-09-11,day,"no edge in the dependency graph names this project; the date is the graph's newest statement, not a sweep date",true
hydrogen,iea:605,605,,Green Crane Pais Vasco Hub,ESP,none found,Feasibility study,25.988,ktH2Y,,0,true,false,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,admission search found no owner or permit source,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this entry,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,false
hydrogen,iea:607,607,,La Robla,ESP,named not admitted,Feasibility study,48.51093333,ktH2Y,,1,true,false,pass,true,https://www.naturgy.com/notas-de-prensa/naturgy-y-enagas-renovable-presentan-en-la-robla-la-futura-planta-de-hidrogeno-renovable-cuya-capacidad-de-produccion-se-multiplicara-hasta-280-mw/,owner,2026-09-10,day,"{'speaker': 'company', 'source_type': 'company', 'domain': 'naturgy.com', 'source_url': 'https://www.naturgy.com/notas-de-prensa/naturgy-y-enagas-renovable-presentan-en-la-robla-la-futura-planta-de-hidrogeno-renovable-cuya-capacidad-de-produccion-se-multiplicara-hasta-280-mw/'}",fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this entry,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,false
hydrogen,iea:710,710,,Port Jerome,FRA,perimeter exclusion,Operational,38.982,ktH2Y,blue,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:771,771,shell-holland-hydrogen-1,Holland Hydrogen - phase 1,NL,admitted,FID/Construction,200,MW_input,,6,true,false,pass,true,https://www.shell.nl/about-us/what-we-do/waterstof/_jcr_content/root/main/section_1793187481/call_to_action/links/item0.stream/1750150411678/bc686db41e4e2aff092b4ae379a466326fd5626d/250513_HH1-leaflet_v43.pdf,Shell Nederland,2025-05-13,day,"the admitting source names the site as 'Tweede Maasvlakte, Rotterdam'",pass,true,https://www.shell.nl/about-us/what-we-do/waterstof/_jcr_content/root/main/section_1793187481/call_to_action/links/item0.stream/1750150411678/bc686db41e4e2aff092b4ae379a466326fd5626d/250513_HH1-leaflet_v43.pdf,owner,2025-05-13,day,200 MW_input as stated,pass,true,https://www.shell.nl/about-us/what-we-do/waterstof/_jcr_content/root/main/section_1793187481/call_to_action/links/item0.stream/1750150411678/bc686db41e4e2aff092b4ae379a466326fd5626d/250513_HH1-leaflet_v43.pdf,owner,2025-05-13,day,status_to construction,pass,true,https://ec.europa.eu/competition/state_aid/cases1/202427/SA_64650_439.pdf,European Commission,2022-09-21,day,IPCEI Hy2Use (SA.64650) names 'SHELL Nederland B.V.'; matched on a document naming both,pass,true,https://www.shell.nl/about-us/what-we-do/waterstof/_jcr_content/root/main/section_1793187481/call_to_action/links/item0.stream/1750150411678/bc686db41e4e2aff092b4ae379a466326fd5626d/250513_HH1-leaflet_v43.pdf,company,2025-05-13,day,commissioning 2026 at year precision,pass,true,https://www.thyssenkrupp-nucera.com/newsroom/news-press-releases/thyssenkrupp-to-install-200-mw-green-hydrogen-facility-for-shell-in-port-of-rotterdam,supplier,2022-01-13,day,equipment_order at firmness contract,true
hydrogen,iea:807,807,airliquide-normandhy-port-jerome,Normand’Hy - Air Liquide ,FR,admitted,FID/Construction,200,MW_input,,5,true,false,pass,true,https://normandhy.airliquide.com/en,owner,2026-09-09,day,row carries a position from a company or permit source,pass,true,https://www.airliquide.com/group/press-releases-news/2023-09-14/air-liquide-takes-further-step-developing-hydrogen-sector-france,owner,2023-09-14,day,200 MW_input as stated,pass,true,https://www.airliquide.com/group/press-releases-news/2023-09-14/air-liquide-takes-further-step-developing-hydrogen-sector-france,owner,2023-09-14,day,status_to fid,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this project,pass,true,https://www.airliquide.com/group/press-releases-news/2023-09-14/air-liquide-takes-further-step-developing-hydrogen-sector-france,company,2023-09-14,day,production_start 2026-H2 at half precision,pass,true,"https://www.siemens-energy.com/global/en/home/press-releases/250,000-tons-less-CO2-thanks-to-renewable-hydrogen.html",supplier,2023-09-15,day,equipment_order at firmness contract,true
hydrogen,iea:819,819,hycc-h2ermes-ijmuiden,H2ermes,NL,admitted,Feasibility study,100,MW_input,,2,true,false,fail,true,https://ipcei.observatory.clean-hydrogen.europa.eu/hycc-h2ermes-nl30,owner,2026-09-10,day,"location_statement is an adjacency (offtake) to Tata Steel, which does not place this row",pass,true,https://ipcei.observatory.clean-hydrogen.europa.eu/hycc-h2ermes-nl30,owner,2026-09-10,day,100 MW_input as stated,fail,true,https://ipcei.observatory.clean-hydrogen.europa.eu/hycc-h2ermes-nl30,owner,2026-09-10,day,no owner statement that FID has been taken,pass,true,https://ec.europa.eu/competition/state_aid/cases1/202427/SA_64650_439.pdf,European Commission,2022-09-21,day,IPCEI Hy2Use (SA.64650) names 'H2ermes B.V. (HyCC)'; matched on identifier,fail,true,https://ipcei.observatory.clean-hydrogen.europa.eu/hycc-h2ermes-nl30,owner,2026-09-10,day,no owner-stated start carrying a date precision,fail,true,sources/edges.json,eufabric dependency sweep,2026-09-11,day,"no edge in the dependency graph names this project; the date is the graph's newest statement, not a sweep date",true
hydrogen,iea:827,827,,"Shell heavy residue gasification CCU - Pernis refinery (in 2027, the CCU project will become CCUS - ref1323 - once Porthos project is available)",NLD,perimeter exclusion,Operational,100,ktH2Y,blue,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:830,830,,Nemo Hydrogen Project,GRC,none found,Concept,17.32533333,ktH2Y,,0,true,false,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,admission search found no owner or permit source,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this entry,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,false
hydrogen,iea:844,844,,Curthyl,NLD,unread,Feasibility study,34.65066667,ktH2Y,,0,false,true,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,false
hydrogen,iea:859,859,smartenergy-orangebat-onda,Orange-BAT Puerto Valencia,ES,admitted,Concept,100,MW_input,,2,true,false,pass,true,https://www.smartenergy.net/orange-bat-is-the-first-green-hydrogen-project-to-obtain-the-iea-in-the-valencian-community/,Smartenergy Group,2026-09-10,day,"the admitting source names the site as 'El Colomer industrial estate, Onda'",pass,true,https://www.smartenergy.net/orange-bat-is-the-first-green-hydrogen-project-to-obtain-the-iea-in-the-valencian-community/,owner,2026-09-10,day,100 MW_input as stated,fail,true,https://www.smartenergy.net/orange-bat-is-the-first-green-hydrogen-project-to-obtain-the-iea-in-the-valencian-community/,owner,2026-09-10,day,no owner statement that FID has been taken,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this project,fail,true,https://www.smartenergy.net/orange-bat-is-the-first-green-hydrogen-project-to-obtain-the-iea-in-the-valencian-community/,owner,2026-09-10,day,no owner-stated start carrying a date precision,fail,true,sources/edges.json,eufabric dependency sweep,2026-09-11,day,"no edge in the dependency graph names this project; the date is the graph's newest statement, not a sweep date",true
hydrogen,iea:873,873,,Steag-Thyssenkrupp Duisburg steel plant (HydrOxy Hub Walsum)- Phase 1,DEU,perimeter exclusion,Feasibility study,23.53913077,ktH2Y,DRI or other perimeter exclusion,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:886,886,,"NortH2, phase 2",NLD,none found,Concept,519.76,ktH2Y,,0,true,false,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,admission search found no owner or permit source,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this entry,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,false
hydrogen,iea:906,906,endesa-as-pontes,As Pontes power plant,ES,admitted,Feasibility study,100,MW_input,,2,true,false,pass,true,https://www.endesa.com/en/press/press-room/news/energy-transition/endesa-studies-developing-23-green-hydrogen-projects-spain,Endesa,2026-09-10,day,the admitting source names the site as 'As Pontes de Garcia Rodriguez',pass,true,https://www.endesa.com/en/press/press-room/news/energy-transition/endesa-studies-developing-23-green-hydrogen-projects-spain,owner,2026-09-10,day,100 MW_input as stated,fail,true,https://www.endesa.com/en/press/press-room/news/energy-transition/endesa-studies-developing-23-green-hydrogen-projects-spain,owner,2026-09-10,day,no owner statement that FID has been taken,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this project,fail,true,https://www.endesa.com/en/press/press-room/news/energy-transition/endesa-studies-developing-23-green-hydrogen-projects-spain,owner,2026-09-10,day,no owner-stated start carrying a date precision,fail,true,sources/edges.json,eufabric dependency sweep,2026-09-11,day,"no edge in the dependency graph names this project; the date is the graph's newest statement, not a sweep date",true
hydrogen,iea:910,910,,Huelva - Endesa,ESP,named not admitted,Feasibility study,17.32533333,ktH2Y,,1,true,false,pass,true,https://www.endesa.com/en/press/press-room/news/energy-transition/endesa-studies-developing-23-green-hydrogen-projects-spain,owner,2026-09-10,day,"{'speaker': 'company', 'source_type': 'company', 'domain': 'endesa.com', 'source_url': 'https://www.endesa.com/en/press/press-room/news/energy-transition/endesa-studies-developing-23-green-hydrogen-projects-spain'}",fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,the funder lists of sources/hydrogen_funder_pass.json name no award for this entry,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,fail,true,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,no owner document on file; the admission search is the record of looking,false
hydrogen,iea:920,920,,"Hynet Northwest, phase 3",GBR,perimeter exclusion,Feasibility study,640,ktH2Y,blue,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:927,927,uniper-h2maasvlakte,"Uniper H2Maasvlakte, phase I",NL,admitted,Feasibility study,100,MW_input,,4,true,false,pass,true,https://web.archive.org/web/20230315064140/https://www.uniper.energy/news/uniper-selected-plug-to-design-the-100mw-electrolyzer-package-for-the-netherlands-plant-to-accelerate-european-green-energy-adoption,owner,2023-03-07,day,row carries a position from a company or permit source,pass,true,https://web.archive.org/web/20230315064140/https://www.uniper.energy/news/uniper-selected-plug-to-design-the-100mw-electrolyzer-package-for-the-netherlands-plant-to-accelerate-european-green-energy-adoption,owner,2023-03-07,day,100 MW_input as stated,fail,true,https://web.archive.org/web/20230315064140/https://www.uniper.energy/news/uniper-selected-plug-to-design-the-100mw-electrolyzer-package-for-the-netherlands-plant-to-accelerate-european-green-energy-adoption,owner,2023-03-07,day,no owner statement that FID has been taken,pass,true,https://ec.europa.eu/competition/state_aid/cases1/202427/SA_64650_439.pdf,European Commission,2022-09-21,day,IPCEI Hy2Use (SA.64650) names 'Uniper Benelux N.V.'; matched on a document naming both,pass,true,https://web.archive.org/web/20230315064140/https://www.uniper.energy/news/uniper-selected-plug-to-design-the-100mw-electrolyzer-package-for-the-netherlands-plant-to-accelerate-european-green-energy-adoption,company,2023-03-07,day,commissioning 2026 at year precision,fail,true,https://www.ir.plugpower.com/feed/PressRelease.svc/GetPressReleaseList?LanguageId=1&bodyType=1&pressReleaseDateFilter=3&categoryId=00000000-0000-0000-0000-000000000000&pageSize=200&pageNumber=0&year=2023&excludeSelection=1,supplier,2023-03-07,day,framework_agreement at firmness framework,true
hydrogen,iea:928,928,,"Uniper H2Maasvlakte, phase II",NLD,unread,Feasibility study,51.976,ktH2Y,,0,false,true,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,false
hydrogen,iea:936,936,,"Stegra (former, H2 Green Steel - H2GS)  - phase 1",SWE,perimeter exclusion,FID/Construction,125.4203478,ktH2Y,DRI or other perimeter exclusion,0,false,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,out of perimeter; not scored,false
hydrogen,iea:945,945,,"Wilhelmshaven , phase 1",DEU,unread,Feasibility study,34.65066667,ktH2Y,,0,false,true,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,false
