iea_ref,name,country,iea_status_2023_vintage,technology,capacity_value,capacity_unit,announced_size,ou_outcome,ou_restated_status,ou_restated_date_online,ou_comment,in_current_iea_vintage,in_ladder_population,register_class,census_searched,readable_capture_at_or_before_cutoff,rungs_cleared_as_of,site_result,site_searched,site_source,site_speaker,site_date,site_precision,site_note,capacity_result,capacity_searched,capacity_source,capacity_speaker,capacity_date,capacity_precision,capacity_note,fid_result,fid_searched,fid_source,fid_speaker,fid_date,fid_precision,fid_note,funding_result,funding_searched,funding_source,funding_speaker,funding_date,funding_precision,funding_note,start_result,start_searched,start_source,start_speaker,start_date,start_precision,start_note,input_result,input_searched,input_source,input_speaker,input_date,input_precision,input_note,as_of
768,Ribatejo natural gas power plant ,PRT,DEMO,PEM,1.0,MWel,1MW,delayed,DEMO,2023,[74] Research project,yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20230929164442/https://flexnconfu.eu/demonstration/,owner,2023-09-29,not_after,"census pass, hand verdict: 'Ribatejo Power Plant (owned and operated by EDP Gestao da Producao de Energia) ... located on the right bank of the Tejo River, about 30 km northeast of Lisbon, in Vala do Carregado'",fail,true,https://web.archive.org/web/20230929164442/https://flexnconfu.eu/demonstration/,eufabric cohort census,2023-09-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230929164442/https://flexnconfu.eu/demonstration/,eufabric cohort census,2023-09-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230929164442/https://flexnconfu.eu/demonstration/,eufabric cohort census,2023-09-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230929164442/https://flexnconfu.eu/demonstration/,eufabric cohort census,2023-09-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
789,Hysolar Green on Road - Nieuwegein,NLD,FID/Construction,Other Electrolysis,2.0,MWel,2MW,delayed,FID/Construction,2024,"[20] Official website doesn't say anything about a first phase of 10 MW, no press release or any other information found -> delaying until 2024",yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20230602230058/https://www.hysolar.nl/nieuws/groene-waterstof-krijgt-vaart/,owner,2023-06-02,not_after,"census pass, hand verdict: Hysolar's own site carries the project under the heading 'Project Nieuwegein'. THIN: the naming is a section title on the owner's site and not a sentence in the release, and it is recorded as that",fail,true,https://web.archive.org/web/20230602025743/https://allesoverwaterstof.nl/mega-waterstofproject-opgestart-in-nieuwegein/,eufabric cohort census,2023-06-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230602025743/https://allesoverwaterstof.nl/mega-waterstofproject-opgestart-in-nieuwegein/,eufabric cohort census,2023-06-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230602025743/https://allesoverwaterstof.nl/mega-waterstofproject-opgestart-in-nieuwegein/,eufabric cohort census,2023-06-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230602025743/https://allesoverwaterstof.nl/mega-waterstofproject-opgestart-in-nieuwegein/,eufabric cohort census,2023-06-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
792,Kopernikus 2.0,DEU,DEMO,SOEC,0.25,MWel,0.25MW,delayed,DEMO,2023,[107] 60 kW,yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20231002043509/https://www.kopernikus-projekte.de/projekte/p2x,eufabric cohort census,2023-10-02,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20231002043509/https://www.kopernikus-projekte.de/projekte/p2x,eufabric cohort census,2023-10-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20231002043509/https://www.kopernikus-projekte.de/projekte/p2x,eufabric cohort census,2023-10-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20231002043509/https://www.kopernikus-projekte.de/projekte/p2x,eufabric cohort census,2023-10-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20231002043509/https://www.kopernikus-projekte.de/projekte/p2x,eufabric cohort census,2023-10-02,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
793,E-CO2MET Raffinerie Mitteldeutschland,DEU,DEMO,SOEC,1.0,MWel,1MW,delayed,DEMO,2023,"[76] ""Der Hochtemperaturelektrolyseur von Sunfire ist mit einer Eingangsleistung von 1 MW vergleichsweise klein. Sunfire bestätigt, dass er seit Februar 2023 in Betrieb ist.""",yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20201017154957/https://www.sunfire.de/en/company/news/detail/sunfire-partners-with-total-on-highly-efficient-hydrogen-technology,eufabric cohort census,2020-10-17,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20201017154957/https://www.sunfire.de/en/company/news/detail/sunfire-partners-with-total-on-highly-efficient-hydrogen-technology,eufabric cohort census,2020-10-17,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20201017154957/https://www.sunfire.de/en/company/news/detail/sunfire-partners-with-total-on-highly-efficient-hydrogen-technology,eufabric cohort census,2020-10-17,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20201017154957/https://www.sunfire.de/en/company/news/detail/sunfire-partners-with-total-on-highly-efficient-hydrogen-technology,eufabric cohort census,2020-10-17,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20201017154957/https://www.sunfire.de/en/company/news/detail/sunfire-partners-with-total-on-highly-efficient-hydrogen-technology,eufabric cohort census,2020-10-17,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
837,Producing Hydrogen by Gasification of Biomass in 'het Groene Hart' - GH2,NLD,DEMO,Biomass,,,1.2MW,not assessed,,,,no,no,never seen by this register,yes,no,0,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,census pass: no reference of this entry answered a declared reader,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
850,Green lab skive (Phase I),DNK,FID/Construction,Other Electrolysis,6.0,MWel,6MW,on time,Operational,2023,[30] The 6 MW is a testing unit for further scale-up and was installed in 2023 -> counting as operational,yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20230529215735/https://www.greenlab.dk/knowledge/denmark-s-first-large-scale-electrolyser-module-delivered/,owner,2023-05-29,not_after,"census pass, hand verdict: 'a 6MW test module for Power-to-X production was delivered to the green industrial park, GreenLab in Skive, Denmark'",fail,true,https://web.archive.org/web/20210803195009/https://fuelcellsworks.com/news/danish-company-greenlab-to-create-worlds-largest-scale-production-facility-for-green-hydrogen/,eufabric cohort census,2021-08-03,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210803195009/https://fuelcellsworks.com/news/danish-company-greenlab-to-create-worlds-largest-scale-production-facility-for-green-hydrogen/,eufabric cohort census,2021-08-03,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20210803195009/https://fuelcellsworks.com/news/danish-company-greenlab-to-create-worlds-largest-scale-production-facility-for-green-hydrogen/,eufabric cohort census,2021-08-03,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210803195009/https://fuelcellsworks.com/news/danish-company-greenlab-to-create-worlds-largest-scale-production-facility-for-green-hydrogen/,eufabric cohort census,2021-08-03,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
938,Abanto Technology Park,ESP,Operational,ALk,2.5,MWel,2.5MW,on time,Operational,2023,,yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20231001183053/https://fuelcellsworks.com/news/basque-hydrogen-corridor-unveiled-a-e1-3billion-hydrogen-project/,eufabric cohort census,2023-10-01,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20231001183053/https://fuelcellsworks.com/news/basque-hydrogen-corridor-unveiled-a-e1-3billion-hydrogen-project/,eufabric cohort census,2023-10-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20231001183053/https://fuelcellsworks.com/news/basque-hydrogen-corridor-unveiled-a-e1-3billion-hydrogen-project/,eufabric cohort census,2023-10-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20231001183053/https://fuelcellsworks.com/news/basque-hydrogen-corridor-unveiled-a-e1-3billion-hydrogen-project/,eufabric cohort census,2023-10-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20231001183053/https://fuelcellsworks.com/news/basque-hydrogen-corridor-unveiled-a-e1-3billion-hydrogen-project/,eufabric cohort census,2023-10-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
993,Aquamarine,HUN,Operational,PEM,2.0,MWel,2MW,on time,Operational,2023,,yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20230418104431/https://mfgt.hu/en/Akvamarin,owner,2023-04-18,not_after,"census pass, hand verdict: 'the on-site civil, mechanical, electrical and instrumentation/process control construction works of the Aquamarine project were completed at the Kardoskut UGS'",fail,true,https://web.archive.org/web/20230418104431/https://mfgt.hu/en/Akvamarin,eufabric cohort census,2023-04-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230418104431/https://mfgt.hu/en/Akvamarin,eufabric cohort census,2023-04-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230418104431/https://mfgt.hu/en/Akvamarin,eufabric cohort census,2023-04-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230418104431/https://mfgt.hu/en/Akvamarin,eufabric cohort census,2023-04-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1005,Rossello paper factory,ESP,Feasibility study,Other Electrolysis,,,,not assessed,,,,no,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20210322205007/https://www.segre.com/es/noticias/comarcas/2021/03/21/impulsan_una_planta_pionera_lleida_para_obtener_hidrogeno_usarlo_como_combustible_129129_1091.html,eufabric cohort census,2021-03-22,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20210322205007/https://www.segre.com/es/noticias/comarcas/2021/03/21/impulsan_una_planta_pionera_lleida_para_obtener_hidrogeno_usarlo_como_combustible_129129_1091.html,eufabric cohort census,2021-03-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210322205007/https://www.segre.com/es/noticias/comarcas/2021/03/21/impulsan_una_planta_pionera_lleida_para_obtener_hidrogeno_usarlo_como_combustible_129129_1091.html,eufabric cohort census,2021-03-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20210322205007/https://www.segre.com/es/noticias/comarcas/2021/03/21/impulsan_una_planta_pionera_lleida_para_obtener_hidrogeno_usarlo_como_combustible_129129_1091.html,eufabric cohort census,2021-03-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210322205007/https://www.segre.com/es/noticias/comarcas/2021/03/21/impulsan_una_planta_pionera_lleida_para_obtener_hidrogeno_usarlo_como_combustible_129129_1091.html,eufabric cohort census,2021-03-22,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1022,H2Pioneer - H2 Carinthia,AUT,FID/Construction,PEM,2.0,MWel,2MW,delayed,FID/Construction,2024,"[65] Electrolyser delivered | [66] ""Wasserstoff soll in Villach aus erneuerbarer Energie hergestellt und in der Produktion verwendet werden, Testbetrieb startet 2024""",yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20220301062301/https://www.wiva.at/v2/portfolio-item/h2pioneer-pave-the-way-for-green-hydrogen-for-early-adopters-in-the-light-industry/?lang=en,eufabric cohort census,2022-03-01,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20220301062301/https://www.wiva.at/v2/portfolio-item/h2pioneer-pave-the-way-for-green-hydrogen-for-early-adopters-in-the-light-industry/?lang=en,eufabric cohort census,2022-03-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220301062301/https://www.wiva.at/v2/portfolio-item/h2pioneer-pave-the-way-for-green-hydrogen-for-early-adopters-in-the-light-industry/?lang=en,eufabric cohort census,2022-03-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20220301062301/https://www.wiva.at/v2/portfolio-item/h2pioneer-pave-the-way-for-green-hydrogen-for-early-adopters-in-the-light-industry/?lang=en,eufabric cohort census,2022-03-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20220301062301/https://www.wiva.at/v2/portfolio-item/h2pioneer-pave-the-way-for-green-hydrogen-for-early-adopters-in-the-light-industry/?lang=en,eufabric cohort census,2022-03-01,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1029,Birsfelden power plant,CHE,FID/Construction,Other Electrolysis,2.5,MWel,2.5MW,delayed,FID/Construction,2026,"[53] Original source points to wrong project, project in Birsfelden was first cancelled, now delayed and increased to 15 MW by 2026",yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20230330115415/https://www.world-energy.org/article/29081.html,eufabric cohort census,2023-03-30,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20230330115415/https://www.world-energy.org/article/29081.html,eufabric cohort census,2023-03-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230330115415/https://www.world-energy.org/article/29081.html,eufabric cohort census,2023-03-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230330115415/https://www.world-energy.org/article/29081.html,eufabric cohort census,2023-03-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230330115415/https://www.world-energy.org/article/29081.html,eufabric cohort census,2023-03-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1033,Greening of Gas (GoG) - Net4Gas DEMO,CZE,Feasibility study,Other Electrolysis,0.44999999999999996,MWel,50m3 CH4/h,delayed,Feasibility study,2024,[104] No up-to-date information found -> delayed,no,no,never seen by this register,yes,no,0,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,census pass: no reference of this entry answered a declared reader,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1064,Vallée Hydrogène Grand Ouest (VHyGO) - Saint-Nazaire,FRA,Operational,Other Electrolysis,1.5,MWel,1.5MW,on time,Operational,2022,[71] Already operational since 2022,no,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20211018200557/https://www.h2-mobile.fr/actus/hygo-station-hydrogene-vannes-ouvrira-octobre-2021/,eufabric cohort census,2021-10-18,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20211018200557/https://www.h2-mobile.fr/actus/hygo-station-hydrogene-vannes-ouvrira-octobre-2021/,eufabric cohort census,2021-10-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20211018200557/https://www.h2-mobile.fr/actus/hygo-station-hydrogene-vannes-ouvrira-octobre-2021/,eufabric cohort census,2021-10-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20211018200557/https://www.h2-mobile.fr/actus/hygo-station-hydrogene-vannes-ouvrira-octobre-2021/,eufabric cohort census,2021-10-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20211018200557/https://www.h2-mobile.fr/actus/hygo-station-hydrogene-vannes-ouvrira-octobre-2021/,eufabric cohort census,2021-10-18,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1091,SmartQuart project - Kaisersesch ,DEU,FID/Construction,PEM,1.0,MWel,1MW,on time,Operational,2023,[77] Operational,no,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20230930163653/https://gtt.fr/news/elogen-selected-equip-smartquart-project-led-eon-germany,eufabric cohort census,2023-09-30,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20230930163653/https://gtt.fr/news/elogen-selected-equip-smartquart-project-led-eon-germany,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230930163653/https://gtt.fr/news/elogen-selected-equip-smartquart-project-led-eon-germany,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230930163653/https://gtt.fr/news/elogen-selected-equip-smartquart-project-led-eon-germany,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230930163653/https://gtt.fr/news/elogen-selected-equip-smartquart-project-led-eon-germany,eufabric cohort census,2023-09-30,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1121,Hydrogen Wind Turbine,NLD,FID/Construction,Other Electrolysis,2.3,MWel,2.3MW,on time,Operational,2021,"[56] ""Since 2021, the hydrogen turbine at the ECN Wind Turbine Test Field Wieringermeer has been operating.""",yes,no,never seen by this register,yes,no,0,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,census pass: no reference of this entry answered a declared reader,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,fail,true,sources/hydrogen_cohort_census.json,eufabric cohort census,2023-10-31,day,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1156,Hydrogen Lab Bremerhaven (phase 1),DEU,FID/Construction,Other Electrolysis,2.0,MWel,2MW,on time,Operational,2023,"[67] Electrolyser delivered, research facility, therefore counting delivery as operational",yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20210528051243/https://hydrogen-central.com/hydrogen-lab-leuna-starts-operations-germany/,eufabric cohort census,2021-05-28,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20210528051243/https://hydrogen-central.com/hydrogen-lab-leuna-starts-operations-germany/,eufabric cohort census,2021-05-28,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210528051243/https://hydrogen-central.com/hydrogen-lab-leuna-starts-operations-germany/,eufabric cohort census,2021-05-28,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20210528051243/https://hydrogen-central.com/hydrogen-lab-leuna-starts-operations-germany/,eufabric cohort census,2021-05-28,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20210528051243/https://hydrogen-central.com/hydrogen-lab-leuna-starts-operations-germany/,eufabric cohort census,2021-05-28,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1184,Sealhyfe,FRA,Operational,PEM,1.0,MWel,"1MW, 400 kg H2/d",on time,Operational,2023,"[78] ""As of 20 June 2023, the platform began producing its first kilos of offshore hydrogen""",yes,no,never seen by this register,yes,yes,0,fail,true,https://web.archive.org/web/20230324091025/https://www.azocleantech.com/article.aspx?ArticleID=1254,eufabric cohort census,2023-03-24,not_after,census pass: the sources read name no site at municipality or finer,fail,true,https://web.archive.org/web/20230324091025/https://www.azocleantech.com/article.aspx?ArticleID=1254,eufabric cohort census,2023-03-24,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230324091025/https://www.azocleantech.com/article.aspx?ArticleID=1254,eufabric cohort census,2023-03-24,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230324091025/https://www.azocleantech.com/article.aspx?ArticleID=1254,eufabric cohort census,2023-03-24,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230324091025/https://www.azocleantech.com/article.aspx?ArticleID=1254,eufabric cohort census,2023-03-24,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
1187,Hofors rolling project,SWE,Operational,ALK,20.0,MWel,20 MW,on time,Operational,2023,"[17] ""On September 5, 2023, the world's first plant for fossil-free hydrogen for heating steel before rolling was inaugurated."", ""Sweden’s largest electrolysis plant, being rated at 20 MW""",yes,no,never seen by this register,yes,yes,1,pass,true,https://web.archive.org/web/20231025092756/https://www.ovako.com/en/about-ovako/our-hydrogen-plant/,owner,2023-10-25,not_after,"census pass, hand verdict: 'The new plant in Hofors starts a new chapter in Swedish steel history ... the electrolyzer ... will be installed at Ovako's site in Hofors'",fail,true,https://web.archive.org/web/20230329040818/https://renewablesnow.com/news/swedish-steel-mill-to-install-17-mw-hydrogen-plant-745424/,eufabric cohort census,2023-03-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230329040818/https://renewablesnow.com/news/swedish-steel-mill-to-install-17-mw-hydrogen-plant-745424/,eufabric cohort census,2023-03-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",fail,true,https://web.archive.org/web/20230329040818/https://renewablesnow.com/news/swedish-steel-mill-to-install-17-mw-hydrogen-plant-745424/,eufabric cohort census,2023-03-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,fail,true,https://web.archive.org/web/20230329040818/https://renewablesnow.com/news/swedish-steel-mill-to-install-17-mw-hydrogen-plant-745424/,eufabric cohort census,2023-03-29,not_after,no owner document on file for this rung; the cohort census is the record of looking,2023-10-31
