entry_id,sector,name,country,register_class,query,candidate_url,what_the_candidate_is,verdict,note
ieaccus:1210,cement,Capsol feasibility study cement Germany,Germany,searched none found,Capsol Technologies feasibility study cement plant Germany announcement capsoltechnologies.com,https://www.capsoltechnologies.com/Capsol-awarded-feasibility-study-from-cement-producer-in-Germany,the technology supplier's own release,,"the cement producer is unnamed in the release — the study's customer is 'a cement producer in Germany', which may be why the entry has no owner host"
ieaccus:1361,transport and storage,NL CCS Direct Injection Phase 2,Netherlands,searched none found,Neptune Energy L10 CO2 storage Direct Injection project Netherlands official page,https://www.neptuneenergy.com/esg/l10-area-ccs-development,the operator's own project page (L10 area CCS),,"the register's name is the IEA's; the operator calls it L10CCS and the Direct Injection service is the shipped-CO2 leg of it. Eni acquired Neptune in 2024, so the host may have moved"
ieaccus:679,transport and storage,NL CCS Direct Injection Phase 1,Netherlands,searched none found,Neptune Energy L10 CO2 storage Direct Injection project Netherlands official page,https://www.neptuneenergy.com/esg/l10-area-ccs-development,the operator's own project page (L10 area CCS),,"same document as ieaccus:1361 — the phases are one project in the operator's own telling"
ieaccus:1474,transport and storage,CarbonConnect,Belgium-United Kingdom,searched none found,CarbonConnect CO2 project Belgium United Kingdom official announcement,https://www.fluxys.com/en/projects/carbonconnect,the owner's own project page (Fluxys),,
ieaccus:322,transport and storage,Polaris offshore storage facility,Norway,searched none found,Equinor Polaris CO2 storage Barents Sea Hammerfest project page equinor.com,https://www.equinor.com/news/20220405-awarded-smeaheia-polaris-co2-licenses,the operator's own release on the Polaris licence award,,"Equinor is the awarded operator; Vår Energi and Horisont Energi are partners and carry their own releases"
ieaccus:343,transport and storage,PYCASSO hub phase 1 - eastern and western pipeline,France,searched none found,PYCASSO project CO2 storage Pyrenees France official site pycasso,https://www.pycasso-project.eu/en/pycasso/,the project's own site,,"the project was abandoned in 2025 after local opposition; the site may be down, in which case the archive pass is the route"
ieaccus:685,transport and storage,PYCASSO hub phase 2 - northern and cross-border pipeline,France-Spain,searched none found,PYCASSO project CO2 storage Pyrenees France official site pycasso,https://www.pycasso-project.eu/en/pycasso/capture-and-storage-solutions/,"the project's own capture-and-storage page, which is where the pipelines are described",,"same project as ieaccus:343"
ieaccus:527,transport and storage,CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Germany,searched none found,CO2nnectNow HES Wilhelmshaven CO2 tank terminal project official announcement,https://wintershalldea.com/en/newsroom/wintershall-dea-and-hes-wilhelmshaven-tank-terminal-intend-jointly-develop-co2-hub-wilhelmshaven,one owner's own release (Wintershall Dea),,"the other owner carries the same release at hesinternational.eu/en/newsroom/wintershall-dea-and-hes-wilhelmshaven-tank-terminal-intend-to-jointly-develop-a-co2-hub — wintershalldea.com is among the hosts that refused this reader elsewhere in the queue"
ieaccus:652,transport and storage,Callisto Mediterranean CO2 Network phase 1,France-Italy,searched none found,Callisto Mediterranean CO2 Network project official site Snam Air Liquide,https://www.callisto-pci.com/,the project's own site (Air Liquide coordinating; Eni and Snam),,"Snam's own PCI release is at snam.it/en/media/news-and-press-releases/comunicati-stampa/2023/snam-south2-corridor-callisto-co2-pci-eu.html"
ieaccus:653,transport and storage,Callisto Mediterranean CO2 Network phase 2,France-Italy,searched none found,Callisto Mediterranean CO2 Network project official site Snam Air Liquide,https://www.callisto-pci.com/,the project's own site,,"same project as ieaccus:652"
ieaccus:661,transport and storage,EU2NSEA PCI Project,Norway,searched none found,EU2NSEA CO2 project of common interest Norway official website,https://www.equinor.com/energy/eu2nsea,one partner's own project page (Equinor),,"developed by Wintershall Dea, Equinor and Fluxys; Equinor's is the page the search reached"
ieaccus:677,transport and storage,North Sea CO2 corridor (Zeebrugge - Germany),Belgium-Germany,searched none found,"""North Sea CO2 corridor"" Zeebrugge Germany pipeline project Fluxys announcement",https://www.fluxys.com/en/projects/carbon-corridor-zeebrugge-germany,the owner's own project page (Fluxys),,"OGE carries the German onshore half at oge.net/en/co2/co2-grid, and Fluxys files a related Ruhbens project separately"
ieaccus:684,transport and storage,Geothermal CCS Croatia,Croatia,searched none found,Croatia geothermal CCS CO2 storage project INA official announcement,https://azu.hr/en-us/projects/geothermal-ccs/,"the promoter's own project page (Croatian Hydrocarbon Agency, AZU)",,"AZU is the project's initiator and promoter; NEXE, INA, Plinacro and Heidelberg Materials are named as participants"
ieaccus:686,cement,Buzzi Unicem Augusta cement plant,Italy,searched none found,Buzzi Unicem Augusta cement plant carbon capture CCS project announcement,https://www.buzziunicem.it/en/augusta,the owner's own plant page,,"NO CCS DOCUMENT FOUND FOR AUGUSTA. Buzzi's carbon capture work the search reached is at Monselice (Nuada pilot) and Vernasca (Cleanker); the plant page is the owner's own and names the site"
ieaccus:687,transport and storage,Augusta C2 ,Italy-Greece,searched none found,"""Augusta C2"" CO2 project Italy Greece Sonatrach Augusta CCS announcement",,no candidate,,"NOTHING FOUND. No owner page and no document naming 'Augusta C2' was reached. A CarbonGap tracker page lists it among Italian capture projects and the Italy-Greece leg is the Prinos storage route, but neither is an owner's document and neither may be handed over as one (L9)"
ieaccus:917,transport and storage,Gismarvik CO2 hub,Norway,searched none found,Gismarvik CO2 hub Norway project official announcement,https://horisontenergi.no/projects/gismarvik-co2-terminal/,the owner's own project page (Horisont Energi),,"the same page is mirrored at nosnova.com/projects/gismarvik-co2-terminal/ — NOS Nova is the joint venture"
